payment_date,client_description,amount_brl,status,observations,_source_file,_load_timestamp
,Freitas Rios Ltda.,3720.91,CANCELADO,Reprehenderit qui.,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-24,Gomes,9415373243448654.0,PAGO,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-13,Rios,4180200884766759.0,PENDENTE,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
,Rios,3454.37,,Iusto saepe.,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-16,Vargas,4089632850502087.0,PENDENTE,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-17,Moreira Aragão Ltda.,4656954035050096.0,PENDENTE,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
,da Rocha,4434.08,PAGO,Dolorum ratione.,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
,Costa S.A.,3885.38,,Laborum.,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-13,Abreu,4683304818507921.0,CANCELADO,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-30,Andrade,2865669088019152.0,PAGO,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-27,Caldeira,1728757493611032.0,PENDENTE,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-29,Dias,4728616889827946.0,PAGO,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-26,Ferreira Cavalcante S.A.,4457993309718069.0,PAGO,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-31,Correia,3236807462590308.0,PENDENTE,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-21,Sampaio da Cruz S.A.,1264486506867136.0,PAGO,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-10,Porto Ferreira S.A.,2757605935594408.0,PAGO,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-09,Sá S.A.,2828390452761519.0,CANCELADO,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
,Aragão Brito S/A,,CANCELADO,Nam provident.,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
,Lima,,,Doloremque natus.,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-15,Jesus - ME,199545512243073.0,PENDENTE,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
,Sousa,,PAGO,Impedit ab dolor.,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-04-01,Jesus S.A.,397303261476749.0,PENDENTE,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-03-26,Casa Grande das Neves e Filhos,4323383725631988.0,PAGO,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-04-03,Santos Marques S/A,4184469747176585.0,CANCELADO,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
2026-04-01,da Mata S.A.,2961603590157633.0,CANCELADO,,base_wagner_v1_final.xlsx,2026-04-04 01:07:46.081301
